ax,ay,az,gx,gy,gz,timestamp
-425.24,97.97,941.53,-59.01,-26.76,11.05,1764851102.4760208
-424.00,87.32,944.75,-61.26,-19.44,12.09,1764851102.4770532
-423.55,77.08,950.34,-46.07,-18.93,7.28,1764851102.4788702
-422.12,68.96,945.34,-40.96,-15.19,31.69,1764851102.4830549
-422.55,65.82,932.23,-35.11,-0.31,22.73,1764851102.4849904
-421.72,64.65,922.75,-28.95,2.74,7.92,1764851102.4864206
-420.41,66.05,906.29,-34.80,15.53,7.93,1764851102.4883487
-418.10,67.99,903.69,-22.38,10.80,15.44,1764851102.490522
-415.53,68.74,903.44,-17.53,-15.42,37.43,1764851102.492336
-414.70,72.98,910.87,-17.30,-11.61,26.71,1764851102.493664
-413.70,83.18,913.74,-31.80,-26.67,38.61,1764851102.4954844
-413.29,84.81,913.78,-30.33,-19.97,37.62,1764851102.4988525
-414.60,96.54,913.66,-37.48,-13.07,29.57,1764851102.5020823
-414.96,103.96,904.86,-40.56,-24.31,20.34,1764851102.5039499
-415.27,110.71,905.93,-37.48,-25.16,0.79,1764851102.5039499
-415.83,117.81,901.44,-32.75,-22.59,-17.03,1764851102.507021
-417.20,106.58,901.68,-17.64,-20.70,-31.88,1764851102.5097542
-415.67,91.20,905.03,-3.30,-29.00,-30.10,1764851102.5118306
-412.72,70.62,908.77,-1.60,-27.95,-51.08,1764851102.5152032
-411.11,54.77,919.16,-19.96,-32.15,-19.72,1764851102.5177
-408.40,59.46,929.03,-7.07,-33.33,6.94,1764851102.5193667
-406.39,70.94,941.63,-0.61,-31.63,2.00,1764851102.5209525
-405.13,84.90,952.18,8.18,-32.59,1.10,1764851102.5229514
-406.16,97.21,951.71,0.96,-28.90,8.13,1764851102.524979
-407.19,106.33,946.95,12.21,-10.76,-11.99,1764851102.5268905
-404.91,107.48,938.26,-1.32,-3.45,-13.19,1764851102.5295854
-403.12,105.76,931.62,-3.52,-3.83,-11.21,1764851102.5332363
-403.25,99.95,930.78,2.71,-4.46,-1.73,1764851102.5356164
-402.92,90.50,928.11,-6.70,3.71,6.03,1764851102.536625
-402.18,85.18,924.19,-5.69,-11.55,6.03,1764851102.5391798
-400.05,85.75,915.91,-9.34,-8.61,15.32,1764851102.5404403
-400.64,85.94,909.03,-17.54,-0.72,6.42,1764851102.542511
-402.05,88.20,901.07,-14.31,4.49,1.56,1764851102.5437877
-402.94,83.22,903.01,-20.26,-2.79,-6.77,1764851102.5473444
-402.05,83.49,909.01,2.28,-3.57,-4.86,1764851102.5485823
-401.44,74.56,911.11,-15.46,-8.73,7.87,1764851102.5504265
-401.83,64.73,911.09,-17.94,-4.72,-2.91,1764851102.5534143
-402.60,66.27,916.03,-10.75,-8.21,-22.27,1764851102.5552816
-403.86,79.28,924.12,-4.04,8.02,-27.33,1764851102.5552816
-404.48,97.84,928.01,20.27,12.51,-35.23,1764851102.5552816
-405.61,103.71,933.55,-1.37,17.54,-36.85,1764851102.5607316
-404.92,95.95,938.42,0.63,10.11,-37.02,1764851102.562037
-405.23,83.51,943.76,16.14,-3.71,-43.77,1764851102.564242
-404.00,78.48,947.24,3.82,-7.05,-27.90,1764851102.56729
-403.85,69.41,943.31,-9.36,-13.79,-22.22,1764851102.568794
-402.97,64.40,932.91,-14.25,-6.03,-20.98,1764851102.5708895
-402.67,66.59,924.52,-10.31,8.68,-23.84,1764851102.572095
-402.87,71.90,921.45,-6.67,8.58,-19.36,1764851102.572095
-401.84,78.37,927.08,-0.27,13.59,-8.96,1764851102.572095
-401.42,82.21,928.12,4.57,0.75,-23.21,1764851102.5780053
-401.05,82.63,927.95,-5.11,-7.16,-17.33,1764851102.580304
-400.15,76.54,927.06,-4.35,-3.39,-12.93,1764851102.5824063
-399.22,70.45,924.80,3.81,9.12,-16.39,1764851102.5853345
-399.04,65.74,922.28,5.03,3.55,2.27,1764851102.5864244
-397.23,62.63,922.84,7.28,1.52,10.93,1764851102.588471
-396.30,62.53,926.46,7.09,27.69,12.89,1764851102.5897949
-396.70,65.00,926.39,14.42,25.64,18.45,1764851102.5897949
-397.20,67.85,921.23,23.96,27.79,17.49,1764851102.593788
-397.17,67.72,913.25,11.67,16.42,30.16,1764851102.5955758
-398.04,67.62,909.61,20.72,4.36,9.44,1764851102.5986207
-398.49,72.92,906.37,17.61,1.31,-0.68,1764851102.6004708
-398.56,76.38,909.01,16.17,-13.59,-3.58,1764851102.602525
-398.48,85.18,917.11,10.44,-29.55,4.46,1764851102.6046352
-398.41,89.05,924.00,-0.72,-33.52,4.69,1764851102.6062055
-398.05,89.34,934.50,20.98,-29.09,16.59,1764851102.6062055
-396.99,87.04,936.97,14.54,-16.63,25.20,1764851102.6094894
-395.64,81.34,936.23,19.86,-19.83,22.32,1764851102.611454
-395.99,82.63,937.84,14.18,-20.46,18.97,1764851102.6140766
-395.40,82.39,934.57,26.75,-19.49,26.93,1764851102.6177368
-396.54,80.38,936.13,29.34,-17.17,4.89,1764851102.6181655
-396.46,80.32,933.86,22.54,-14.59,-3.65,1764851102.6206558
-396.39,75.63,926.83,13.76,-8.20,-11.80,1764851102.6228108
-396.93,73.13,924.16,26.39,-11.77,2.87,1764851102.6241994
-397.39,68.61,916.48,5.93,-16.31,11.74,1764851102.6260395
-398.53,65.37,918.06,5.94,-26.16,17.48,1764851102.6283686
-395.90,70.26,921.20,0.25,-30.04,14.56,1764851102.6308467
-395.92,76.67,923.42,-5.79,-36.63,24.37,1764851102.6329198
-395.03,81.37,924.86,0.78,-24.84,24.02,1764851102.6352582
-395.17,83.42,927.28,11.77,-17.21,27.92,1764851102.6364021
-395.15,85.60,926.94,13.90,-9.23,23.43,1764851102.6386425
-394.53,85.51,928.30,12.12,-6.94,20.81,1764851102.6405718
-395.65,84.99,932.30,17.20,-0.50,14.69,1764851102.6427522
-396.60,82.44,933.31,-2.48,2.87,28.39,1764851102.644537
-395.31,78.62,931.91,5.39,17.14,1.63,1764851102.6469486
-393.91,76.58,931.62,2.48,10.97,5.29,1764851102.6487079
-392.88,70.49,925.23,15.31,12.32,15.89,1764851102.6513004
-394.55,70.27,920.25,4.61,15.58,24.61,1764851102.6533134
-394.76,76.83,914.36,5.42,1.84,32.02,1764851102.6533134
-394.80,84.50,917.61,-13.09,-29.04,28.41,1764851102.656986
-395.28,86.38,921.71,-30.03,-39.08,1.95,1764851102.6585238
-395.84,80.77,925.66,-8.12,-42.52,5.26,1764851102.6597798
-393.91,76.46,930.81,9.89,-31.94,6.87,1764851102.661416
-392.72,71.14,941.19,12.61,-20.85,-0.16,1764851102.6642752
-392.77,73.52,947.31,27.52,-20.42,3.16,1764851102.6666305
-393.10,78.39,954.76,31.79,-17.36,-2.11,1764851102.6671379
-393.09,89.28,949.10,28.22,-13.26,11.71,1764851102.6700613
-392.92,90.74,935.58,15.29,17.23,6.05,1764851102.6727858
-393.08,87.78,928.00,28.60,13.75,6.64,1764851102.6743639
-394.72,86.16,915.70,14.41,11.09,8.35,1764851102.6763945
-395.51,84.34,909.14,15.85,5.52,-4.91,1764851102.6782162
-397.54,87.14,915.57,19.17,-19.31,1.83,1764851102.6809106
-396.86,95.82,915.64,-0.51,-24.21,0.66,1764851102.6825507
-396.73,100.94,917.79,4.37,-7.68,5.96,1764851102.6849642
-396.02,102.00,916.47,1.91,-11.33,-0.34,1764851102.6865578
-396.62,96.15,917.75,14.53,-24.03,0.01,1764851102.6884184
-396.97,87.13,921.69,6.65,-36.62,1.21,1764851102.6897557
-398.33,80.06,922.78,8.65,-39.83,10.63,1764851102.6897557
-398.43,74.50,924.92,1.95,-23.96,9.04,1764851102.693537
-398.81,78.33,931.08,-0.14,-11.36,11.28,1764851102.6962266
-398.39,84.28,937.67,-16.02,1.44,12.29,1764851102.6984215
-398.03,86.79,932.62,-16.02,0.63,-15.05,1764851102.6999419
-398.18,83.52,926.07,-26.81,-4.57,0.40,1764851102.7023442
-398.90,80.74,923.06,-9.29,-14.08,4.24,1764851102.7035763
-399.67,77.93,921.85,-16.60,-19.17,-10.79,1764851102.7058837
-400.47,73.89,921.73,-10.81,-8.49,-11.27,1764851102.7058837
-401.45,69.11,920.87,-13.99,-20.42,-6.88,1764851102.7058837
-401.38,69.69,916.54,-5.29,-24.86,-12.75,1764851102.7119753
-402.97,72.29,913.46,-12.60,-27.13,-1.54,1764851102.7141466
-404.18,80.94,910.84,-12.81,-18.86,3.19,1764851102.7166805
-403.70,92.05,911.31,-38.79,-37.63,3.01,1764851102.7182894
-403.45,92.79,914.72,-34.17,-45.49,-16.94,1764851102.7197988
-403.38,84.28,920.16,-27.84,-20.36,-21.00,1764851102.7220724
-400.47,75.68,925.38,-11.67,-12.51,-25.65,1764851102.7241554
-398.45,67.93,927.88,3.58,5.87,-29.30,1764851102.7268233
-397.48,69.59,932.40,2.75,15.49,-12.61,1764851102.7285802
-397.11,78.80,937.74,-11.17,5.06,-11.31,1764851102.7326477
-397.54,85.43,937.33,-19.09,19.90,-26.12,1764851102.7350752
-397.76,81.17,931.43,-24.63,26.82,-27.30,1764851102.7369716
-398.55,81.44,927.91,-13.13,42.60,-16.30,1764851102.7369716
-399.07,83.78,922.53,-24.66,30.21,-18.66,1764851102.7396927
-399.66,88.31,914.35,-27.86,31.98,-12.56,1764851102.7396927
-402.41,88.41,908.29,-22.48,18.18,-8.58,1764851102.7444553
-403.85,84.90,904.95,-8.31,14.25,-18.99,1764851102.7471871
-402.97,75.17,905.86,14.84,-2.29,-12.24,1764851102.748969
-401.32,66.29,912.03,19.81,4.96,-25.11,1764851102.7510448
-400.83,63.10,922.97,8.44,-4.79,-27.04,1764851102.7541447
-401.45,70.43,933.48,10.17,2.83,-18.78,1764851102.7541447
-401.53,82.22,936.11,6.85,-6.89,-15.07,1764851102.757486
-402.05,88.79,942.39,5.82,13.04,-21.21,1764851102.759134
-403.25,89.72,940.53,12.45,19.18,-17.43,1764851102.759134
-402.61,92.31,934.45,-6.82,23.81,-9.11,1764851102.7621944
-403.42,93.46,924.93,3.80,25.34,-4.44,1764851102.7658958
-404.70,95.04,916.84,-10.27,18.54,-3.48,1764851102.768402
-404.00,100.14,911.17,-0.33,18.16,-0.56,1764851102.7699957
-404.30,102.37,913.54,-13.78,4.33,2.53,1764851102.7699957
-405.90,98.86,916.31,-1.81,-13.42,-4.45,1764851102.7699957
-406.22,90.18,919.41,3.86,-22.21,-11.58,1764851102.7771647
-406.34,81.76,920.55,10.18,-24.87,-18.25,1764851102.7784462
-405.54,74.89,921.67,25.45,-22.34,-26.01,1764851102.7808256
-406.81,75.36,922.47,38.44,-11.79,-26.91,1764851102.7837317
-406.98,75.75,923.00,31.77,-28.32,-30.97,1764851102.7850955
-407.89,78.64,929.60,49.50,-14.77,-27.53,1764851102.786858
-408.65,79.90,933.56,53.18,-7.76,-29.40,1764851102.7888455
-411.26,77.96,934.98,56.30,9.01,-25.29,1764851102.7912576
-414.67,73.02,933.93,42.46,14.55,-16.39,1764851102.7912576
-417.87,64.01,929.44,49.89,27.37,-15.14,1764851102.7955806
-424.49,49.31,951.87,54.41,38.87,-10.17,1764851102.797409
-429.21,50.92,983.84,42.64,39.64,29.76,1764851102.8004205
-432.03,58.88,995.12,43.45,53.19,41.20,1764851102.8025644
-433.83,66.85,988.95,43.23,61.41,55.42,1764851102.8025644
-434.75,91.47,981.46,51.15,82.20,70.50,1764851102.8056471
-435.09,120.20,973.14,58.47,83.97,53.63,1764851102.8094196
-435.68,133.52,972.52,60.20,91.77,41.38,1764851102.8109462
-435.58,126.54,971.69,84.17,111.91,23.48,1764851102.8124228
-433.54,102.61,977.14,100.95,139.82,20.86,1764851102.81657
-432.71,87.97,970.82,132.00,170.15,34.83,1764851102.8177845
-429.60,78.22,953.44,126.90,190.83,38.00,1764851102.8193157
-427.56,91.99,925.93,144.47,223.10,38.60,1764851102.8193157
-422.68,119.44,887.09,146.50,224.74,41.21,1764851102.823995
-421.98,137.53,850.47,127.22,217.73,40.43,1764851102.8261528
-421.08,139.55,810.80,114.44,202.77,34.37,1764851102.8276827
-420.92,131.36,786.98,104.47,180.15,13.01,1764851102.8308833
-420.33,124.56,779.04,99.30,143.53,8.06,1764851102.8334093
-422.98,126.28,774.38,81.71,101.90,2.05,1764851102.835286
-424.63,131.33,783.77,37.05,53.92,8.64,1764851102.8545895
-426.49,135.93,798.36,18.89,31.43,-0.75,1764851102.8545895
-427.77,150.04,816.00,-6.14,21.31,21.86,1764851102.8589528
-430.35,152.74,823.80,-5.82,7.62,9.28,1764851102.8609636
-432.70,139.13,825.48,-13.65,5.27,-5.31,1764851102.86685
-434.69,133.41,826.76,-0.50,-11.42,-10.21,1764851102.8707938
-436.69,128.55,838.05,-8.52,-36.10,-13.78,1764851102.8728025
-440.04,132.51,858.59,-2.15,-42.69,-14.12,1764851102.876828
-442.73,137.39,885.50,-11.72,-67.49,-3.60,1764851102.883125
-443.97,137.48,909.88,-7.27,-59.76,-9.06,1764851102.884602
-447.13,138.46,934.79,-4.98,-52.00,-3.80,1764851102.888649
-448.31,142.14,950.58,-0.33,-50.20,-24.23,1764851102.8906617
-449.01,144.82,952.74,-12.58,-6.37,-33.80,1764851102.8946867
-448.71,146.20,950.38,-12.79,8.09,-37.13,1764851102.8976412
-448.75,147.82,947.17,1.43,31.17,-45.06,1764851102.9010904
-448.34,135.24,938.30,9.61,33.70,-41.00,1764851102.9010904
-447.09,119.01,930.90,5.77,64.04,-32.75,1764851102.9051917
