ax,ay,az,gx,gy,gz,beat_event
-1.197510,3.305127,8.602911,-6.219512,3.292683,-1.097561,0
-1.178350,3.391348,8.583751,-0.853659,-6.341464,-3.536585,0
-1.178350,3.372188,8.641231,5.121951,-4.024390,1.463415,0
-1.187930,3.333867,8.641231,-3.292683,-4.756098,-1.951220,0
-1.168770,3.314707,8.622070,-0.853659,-0.487805,0.000000,0
-1.130449,3.333867,8.727451,-1.463415,0.609756,-0.487805,0
-1.140029,3.285967,8.641231,5.243903,-1.097561,0.243902,0
-1.159189,3.333867,8.545430,2.439024,-1.829268,-1.341463,0
-1.187930,3.343447,8.583751,-4.756098,-4.390244,0.731707,0
-1.178350,3.305127,8.583751,0.609756,7.439024,4.024390,0
-1.111289,3.343447,8.660391,-4.512195,2.073171,1.585366,0
-1.197510,3.238066,8.650811,-0.365854,3.658537,-5.487805,0
-1.130449,3.381768,8.535850,-0.487805,-3.414634,-0.365854,0
-1.187930,3.266807,8.650811,5.609756,3.414634,-0.487805,0
-1.159189,3.372188,8.602911,-4.390244,3.780488,-5.487805,0
-1.159189,3.343447,8.679551,2.560976,4.512195,0.000000,0
-1.120869,3.333867,8.698711,-2.317073,2.073171,-0.731707,0
-1.216670,3.285967,8.574170,4.878049,-5.121951,0.731707,0
-1.149609,3.439248,8.679551,4.512195,-0.975610,-2.317073,0
-1.197510,3.324287,8.660391,-7.317073,2.073171,4.390244,0
-1.178350,3.420088,8.650811,-0.853659,7.560976,0.365854,0
-1.178350,3.362607,8.775352,-0.121951,-0.731707,-1.341463,0
-1.187930,3.343447,8.574170,2.682927,-4.390244,-0.975610,0
-1.111289,3.381768,8.602911,-0.609756,-0.243902,-4.146341,0
-1.187930,3.343447,8.574170,0.853659,1.097561,-6.097561,0
-1.149609,3.324287,8.660391,3.780488,5.609756,-1.341463,0
-1.207090,3.372188,8.641231,1.585366,2.682927,8.292683,0
-1.130449,3.381768,8.622070,-2.317073,4.390244,-1.219512,0
-1.168770,3.295547,8.622070,2.560976,-2.560976,-3.170732,0
-1.168770,3.285967,8.583751,0.853659,6.463415,1.585366,0
-1.168770,3.381768,8.602911,0.487805,-5.609756,4.146341,0
-1.063389,3.333867,8.660391,-4.878049,-11.219513,0.365854,0
-1.235830,3.343447,8.631651,5.243903,3.780488,-9.268293,0
-1.207090,3.381768,8.602911,-3.902439,-1.463415,0.243902,0
-1.149609,3.257227,8.669971,0.609756,0.731707,-1.097561,0
-1.168770,3.314707,8.708291,0.487805,0.243902,0.243902,0
-1.207090,3.305127,8.641231,-1.463415,5.975610,0.853659,0
-1.178350,3.391348,8.641231,-0.365854,-7.073171,2.439024,0
-1.178350,3.314707,8.660391,0.121951,6.951220,-0.731707,0
-1.187930,3.343447,8.602911,-0.853659,1.585366,-0.487805,0
-1.178350,3.333867,8.650811,3.658537,0.487805,-4.634147,0
-1.168770,3.324287,8.602911,3.658537,-6.341464,2.195122,0
-1.226250,3.410508,8.650811,0.365854,2.682927,-3.780488,0
-1.226250,3.391348,8.631651,6.341464,0.609756,3.902439,0
-1.207090,3.285967,8.631651,3.902439,0.000000,-3.902439,0
-1.178350,3.266807,8.631651,1.829268,0.243902,2.682927,0
-1.187930,3.391348,8.641231,-0.975610,5.121951,-3.170732,0
-1.149609,3.333867,8.583751,0.975610,2.560976,5.000000,0
-1.226250,3.305127,8.593330,-1.951220,5.731708,0.609756,0
-1.120869,3.381768,8.641231,5.243903,1.219512,-0.487805,0
-1.159189,3.295547,8.564590,-2.682927,-2.195122,4.878049,0
-1.216670,3.400928,8.650811,2.560976,6.463415,-1.219512,0
-1.187930,3.362607,8.660391,-2.804878,0.121951,5.487805,0
-1.187930,3.391348,8.689131,-2.926829,-5.000000,-6.341464,0
-1.168770,3.381768,8.660391,10.121951,-1.219512,-6.097561,0
-1.111289,3.343447,8.641231,-0.365854,2.195122,-9.512196,0
-1.178350,3.333867,8.612491,1.585366,1.951220,11.341464,0
-1.120869,3.372188,8.631651,-0.731707,-2.804878,-0.975610,0
-1.168770,3.285967,8.660391,-0.609756,0.000000,3.048780,0
-1.226250,3.314707,8.593330,-0.121951,-0.975610,2.804878,0
-1.159189,3.353028,8.669971,-1.463415,3.658537,0.975610,0
-1.168770,3.391348,8.612491,0.121951,-0.975610,-3.902439,0
-1.197510,3.257227,8.631651,1.951220,4.146341,0.365854,0
-1.187930,3.372188,8.631651,-1.463415,-2.439024,-2.926829,0
-1.120869,3.353028,8.631651,-2.560976,1.707317,-7.439024,0
-1.140029,3.381768,8.593330,-0.731707,-2.317073,-4.268293,0
-1.149609,3.285967,8.574170,0.975610,4.024390,-4.268293,0
-1.101709,3.266807,8.660391,4.512195,3.902439,-3.170732,0
-1.130449,3.372188,8.727451,1.219512,-0.121951,7.560976,0
-1.226250,3.381768,8.641231,1.097561,-1.463415,-3.170732,0
-1.197510,3.333867,8.641231,5.975610,2.926829,-4.390244,0
-1.178350,3.353028,8.555010,3.048780,3.536585,6.829268,0
