ax,ay,az,gx,gy,gz,beat_event
-0.689766,4.349356,8.210127,-6.707317,-1.707317,-2.682927,0
-0.708926,4.282295,8.258028,2.073171,-2.439024,-1.463415,0
-0.670605,4.311035,8.200547,3.902439,0.243902,5.121951,0
-0.728086,4.243975,8.277188,-0.243902,3.536585,-0.487805,0
-0.756826,4.205655,8.258028,-0.121951,-0.975610,-3.414634,0
-0.823887,4.454737,8.229287,2.682927,-1.097561,1.341463,0
-0.708926,4.464316,8.296348,5.731708,1.829268,-5.365854,0
-0.775986,4.387676,8.219707,1.585366,-3.170732,6.585366,0
-0.737666,4.397256,8.200547,5.243903,-1.463415,2.439024,0
-0.728086,4.416416,8.200547,0.243902,4.268293,2.682927,0
-0.728086,4.435576,8.219707,-0.365854,0.853659,-1.219512,0
-0.728086,4.406836,8.238868,-1.951220,3.536585,2.804878,0
-0.699346,4.263135,8.219707,-2.926829,0.000000,-2.073171,0
-0.680186,4.291875,8.200547,2.804878,-2.439024,0.365854,0
-0.766406,4.253555,8.258028,2.439024,-1.951220,4.268293,0
-0.747246,4.397256,8.238868,0.731707,-3.536585,-3.902439,0
-0.661025,4.301455,8.200547,-3.414634,0.731707,-1.097561,0
-0.699346,4.205655,8.219707,3.414634,4.024390,4.268293,0
-0.737666,4.320615,8.171807,-1.463415,3.048780,1.341463,0
-0.775986,4.349356,8.267608,2.682927,-1.463415,-3.170732,0
-0.728086,4.291875,8.200547,3.536585,2.926829,2.195122,0
-0.747246,4.291875,8.190968,-2.073171,3.536585,-0.487805,0
-0.766406,4.703819,7.635323,-0.853659,-1.097561,-1.585366,0
-0.661025,4.770879,8.459209,1.951220,-3.536585,-0.853659,0
-0.699346,4.215235,8.171807,2.926829,2.804878,-2.073171,0
-0.708926,4.282295,8.056846,-2.560976,-1.707317,1.463415,0
-0.689766,4.253555,8.181387,-5.487805,0.365854,-1.951220,0
-0.689766,4.311035,8.162227,-2.682927,0.000000,7.560976,0
-0.766406,4.224814,8.229287,-2.560976,6.585366,6.585366,0
-0.708926,4.224814,8.200547,-6.585366,3.780488,4.146341,0
-0.708926,4.263135,8.171807,3.292683,2.195122,2.073171,0
-0.747246,4.243975,8.210127,-0.243902,-0.487805,1.707317,0
-0.747246,4.311035,8.286768,-4.024390,-0.487805,-5.000000,0
-0.728086,4.282295,8.210127,-0.975610,0.731707,3.780488,0
-0.756826,4.349356,8.238868,-0.365854,-3.658537,1.463415,0
-0.756826,4.349356,8.162227,1.951220,-0.975610,0.365854,0
-0.708926,4.521797,8.277188,-1.585366,-2.926829,-2.317073,0
-0.680186,4.282295,8.171807,2.195122,4.024390,5.000000,0
-0.708926,4.358936,8.162227,7.926829,0.000000,-3.414634,0
-0.737666,4.282295,8.143066,4.390244,-0.243902,-3.170732,0
-0.708926,4.330195,8.200547,4.268293,3.536585,0.975610,0
-0.747246,4.358936,8.143066,-3.292683,-2.073171,-2.317073,0
-0.689766,4.272715,8.181387,0.975610,4.024390,1.341463,0
-0.689766,4.301455,8.219707,-1.951220,8.048780,0.365854,0
-0.718506,4.301455,8.171807,2.439024,2.804878,-4.878049,0
-0.622705,4.272715,8.258028,1.585366,-1.463415,7.317073,0
-0.651445,4.301455,8.152647,2.560976,4.634147,2.195122,0
-0.718506,4.272715,8.219707,-1.463415,0.975610,-1.707317,0
-0.699346,4.291875,8.123906,-1.341463,-4.390244,1.585366,0
-0.718506,4.301455,8.334668,-4.146341,-5.365854,-1.341463,0
-0.766406,4.282295,8.229287,0.243902,-2.926829,-5.731708,0
-0.699346,4.397256,8.162227,1.829268,0.975610,-2.804878,0
-0.775986,4.320615,8.210127,1.219512,1.097561,2.560976,0
-0.718506,4.378096,8.248447,1.219512,-1.219512,-3.292683,0
-0.747246,4.387676,8.219707,0.000000,-1.951220,5.975610,0
-0.737666,4.320615,8.229287,1.951220,-1.951220,-0.487805,0
-0.804727,4.358936,8.305928,-3.414634,-0.487805,-2.804878,0
-0.766406,4.253555,8.296348,5.609756,1.585366,-1.341463,0
-0.699346,4.253555,8.162227,-2.439024,0.000000,-3.658537,0
-0.708926,4.157754,8.181387,-3.780488,-6.341464,1.829268,0
-0.718506,4.301455,8.296348,1.463415,2.926829,1.097561,0
-0.699346,4.205655,8.181387,5.121951,3.658537,-3.902439,0
-0.708926,4.349356,8.210127,4.146341,-3.414634,-1.951220,0
-0.795147,4.339776,8.248447,-2.926829,-2.560976,0.731707,0
-0.756826,4.311035,8.305928,-2.682927,1.097561,-3.292683,0
-0.737666,4.435576,8.171807,-6.585366,-2.926829,3.048780,0
-0.689766,4.263135,8.190968,6.707317,-8.048780,-1.219512,0
-0.775986,4.425996,8.171807,1.951220,-0.731707,0.365854,0
-0.680186,4.339776,8.238868,0.853659,0.121951,1.829268,0
-0.728086,4.339776,8.305928,-1.463415,0.243902,-0.975610,0
-0.699346,4.339776,8.095166,1.585366,3.292683,-0.975610,0
-0.708926,4.311035,8.210127,-6.951220,-4.390244,5.243903,0
-0.728086,4.282295,8.181387,-0.853659,-4.756098,1.463415,0
-0.737666,4.330195,8.229287,-2.317073,0.609756,-1.829268,0
-0.823887,4.272715,8.267608,-7.317073,-4.146341,5.121951,0
-0.747246,4.205655,8.181387,-3.414634,2.560976,7.682927,0
-0.728086,4.330195,8.190968,-5.975610,-6.951220,0.609756,0
-0.823887,4.272715,8.162227,-1.951220,7.439024,-1.951220,0
-0.747246,4.311035,8.181387,-4.878049,-3.780488,-0.609756,0
-0.670605,4.311035,8.286768,4.146341,5.000000,-1.097561,0
-0.775986,4.349356,8.133487,-2.195122,3.902439,1.097561,0
-0.756826,4.349356,8.258028,-0.731707,3.536585,-1.097561,0
-0.689766,4.263135,8.210127,1.097561,-4.268293,-0.365854,0
-0.737666,4.358936,8.296348,2.560976,-0.121951,1.463415,0
-0.613125,4.291875,8.267608,-3.780488,0.487805,-1.951220,0
-0.737666,4.301455,8.181387,1.951220,-2.926829,4.146341,0
-0.814307,4.272715,8.219707,1.951220,6.585366,-3.170732,0
-0.747246,4.243975,8.267608,-2.926829,-1.097561,1.829268,0
-0.651445,4.339776,8.267608,-0.609756,-0.731707,2.804878,0
-0.680186,4.282295,8.152647,1.585366,-0.487805,-2.439024,0
-0.708926,4.320615,8.248447,1.585366,0.975610,-1.829268,0
-0.718506,4.358936,8.286768,5.243903,-2.439024,1.829268,0
-0.728086,4.397256,8.286768,3.048780,7.317073,-1.097561,0
-0.728086,4.301455,8.152647,0.975610,-1.219512,-0.243902,0
-0.728086,4.311035,8.123906,-0.853659,4.634147,0.731707,0
-0.775986,4.311035,8.181387,2.560976,4.024390,-9.268293,0
-0.708926,4.253555,8.162227,5.365854,0.731707,-5.121951,0
-0.756826,4.311035,8.219707,-1.219512,-1.585366,2.926829,0
-0.737666,4.282295,8.171807,-0.487805,-0.365854,-0.731707,0
-0.804727,4.253555,8.190968,-4.634147,1.097561,0.000000,0
-0.747246,4.272715,8.219707,-3.902439,1.097561,-0.243902,0
-0.708926,4.378096,8.267608,3.292683,-1.707317,-2.073171,0
-0.795147,4.301455,8.171807,0.487805,7.926829,-0.487805,0
-0.680186,4.291875,8.171807,4.512195,2.439024,10.000000,0
-0.641865,4.339776,8.229287,-2.560976,1.951220,1.829268,0
-0.718506,4.473897,8.181387,-1.951220,0.731707,5.853659,0
-0.699346,4.205655,8.315508,-0.121951,3.780488,-3.170732,0
-0.651445,4.263135,8.219707,-4.146341,-6.341464,2.926829,0
-0.756826,4.253555,8.171807,-9.512196,-6.829268,5.731708,0
-0.756826,4.397256,8.181387,-3.292683,0.853659,1.097561,0
-0.718506,4.272715,8.267608,-6.097561,-0.487805,6.097561,0
-0.766406,4.272715,8.190968,3.292683,-1.585366,2.195122,0
-0.699346,4.272715,8.248447,0.121951,0.000000,-0.975610,0
-0.699346,4.291875,8.143066,1.219512,6.951220,2.560976,0
-0.766406,4.272715,8.277188,-2.317073,2.317073,0.243902,0
-0.689766,4.282295,8.143066,2.439024,-0.853659,0.731707,0
-0.718506,4.272715,8.200547,-2.439024,0.243902,-4.268293,0
-0.766406,4.406836,8.238868,-1.097561,-1.951220,8.292683,0
-0.775986,4.282295,8.229287,1.829268,5.121951,-2.682927,0
-0.689766,4.263135,8.296348,-1.463415,-0.609756,0.731707,0
-0.756826,4.301455,8.123906,6.097561,4.268293,-8.048780,0
-0.699346,4.291875,8.190968,-5.609756,0.243902,-0.243902,0
-0.766406,4.406836,8.229287,0.000000,2.195122,-3.658537,0
-0.699346,4.387676,8.181387,-2.195122,0.609756,1.463415,0
-0.766406,4.349356,8.152647,-3.048780,4.390244,-5.000000,0
-0.775986,4.454737,8.123906,5.121951,2.439024,-1.219512,0
-0.718506,4.368516,8.229287,3.658537,-3.292683,3.048780,0
-0.747246,4.291875,8.267608,1.219512,0.975610,-2.560976,0
-0.756826,4.339776,8.353828,-4.512195,0.487805,-0.121951,0
-0.708926,4.397256,8.210127,2.073171,-3.658537,-4.634147,0
-0.708926,4.378096,8.162227,1.585366,-3.902439,-3.048780,0
-0.775986,4.320615,8.171807,-3.048780,0.853659,-3.658537,0
-0.785566,4.387676,8.190968,-3.658537,-1.341463,4.878049,0
-0.737666,4.272715,8.210127,5.487805,-2.073171,6.097561,0
-0.728086,4.387676,8.229287,2.682927,4.146341,-0.487805,0
-0.680186,4.406836,8.267608,1.585366,5.487805,1.097561,0
-0.718506,4.339776,8.325089,-3.780488,-4.146341,2.560976,0
-0.699346,4.397256,8.200547,-0.487805,-2.926829,5.121951,0
-0.756826,4.320615,8.181387,-6.463415,-6.829268,1.463415,0
-0.708926,4.425996,8.133487,-2.804878,0.000000,0.731707,0
-0.728086,4.301455,8.162227,-0.365854,-3.048780,4.268293,0
-0.728086,4.378096,8.162227,1.585366,-0.975610,0.853659,0
-0.689766,4.425996,8.258028,3.048780,0.487805,5.243903,0
-0.737666,4.253555,8.219707,0.000000,-0.487805,1.341463,0
-0.708926,4.368516,8.219707,-3.292683,-0.487805,0.000000,0
-0.737666,4.445157,7.089258,-0.487805,-7.560976,0.000000,0
-0.651445,4.186494,8.190968,0.487805,3.780488,-4.512195,0
