ax,ay,az,gx,gy,gz,timestamp
-477.62,553.76,784.56,106.30,52.65,-63.63,1764850958.6414733
-473.47,568.94,796.18,119.16,95.75,-61.59,1764850958.6540446
-471.15,588.90,790.90,132.78,134.79,-71.25,1764850958.6557183
-466.03,602.27,770.51,108.37,165.27,-91.76,1764850958.6574404
-457.93,615.88,753.79,75.01,194.48,-102.00,1764850958.6599748
-455.84,628.20,753.97,-11.54,218.11,-114.00,1764850958.6641524
-457.36,628.17,745.57,-87.51,254.39,-147.90,1764850958.6664863
-462.11,632.19,713.69,-103.48,269.33,-153.91,1764850958.6701057
-466.59,630.51,683.58,-92.46,297.03,-177.03,1764850958.6726358
-471.90,639.44,664.15,-85.19,283.08,-214.97,1764850958.674648
-470.72,644.92,635.32,-61.31,272.42,-266.43,1764850958.674648
-464.46,636.38,593.13,-46.12,219.85,-309.56,1764850958.6795857
-459.89,622.07,555.76,-17.30,154.18,-353.43,1764850958.6822307
-445.51,637.81,563.59,10.80,58.75,-403.01,1764850958.684392
-440.93,642.19,562.45,-92.52,-56.26,-493.76,1764850958.6867633
-442.74,615.01,565.54,-163.24,-154.32,-572.40,1764850958.6867633
-442.93,588.01,573.26,-123.16,-254.17,-677.94,1764850958.6917248
-447.59,556.96,608.32,-148.78,-332.75,-771.55,1764850958.6937444
-461.30,501.47,646.97,-246.17,-425.94,-875.72,1764850958.6964242
-457.21,396.10,686.12,-318.14,-499.45,-952.86,1764850958.6989837
-461.08,264.23,890.26,-262.02,-555.03,-979.43,1764850958.6995413
-469.46,205.10,918.57,-157.92,-517.97,-970.51,1764850958.7028985
-478.24,158.13,918.63,-86.53,-456.48,-900.24,1764850958.706777
-492.16,122.41,919.44,-48.05,-415.61,-848.90,1764850958.7085211
-502.33,54.40,908.27,0.56,-372.17,-790.87,1764850958.7104332
-491.93,-28.01,898.33,138.47,-330.74,-657.24,1764850958.7127254
-483.54,-77.36,864.83,303.10,-290.13,-503.45,1764850958.7147293
-480.01,-92.15,832.16,458.04,-269.41,-328.03,1764850958.7180727
-466.21,-53.88,821.78,661.13,-286.00,-125.83,1764850958.7211137
-468.13,63.55,808.02,816.96,-308.20,14.85,1764850958.7243288
-478.16,197.27,827.06,985.42,-331.87,104.12,1764850958.726488
-514.14,324.88,866.20,1102.80,-286.29,101.70,1764850958.7291152
-503.02,329.10,851.62,1216.68,-239.45,57.35,1764850958.7308462
-486.51,297.73,827.38,1169.48,-218.53,62.54,1764850958.7331588
-493.79,283.37,837.22,936.76,-225.65,80.16,1764850958.7352011
-486.77,312.57,834.34,859.25,-187.60,78.64,1764850958.7352011
-476.00,427.08,839.99,808.06,-170.26,92.94,1764850958.7405515
-473.15,473.12,809.09,664.95,-146.82,64.00,1764850958.7405515
-475.08,467.55,808.93,588.61,-142.80,13.90,1764850958.744118
-451.67,334.42,611.54,429.22,-147.18,-2.28,1764850958.7466447
-445.42,306.91,527.01,403.83,-218.70,49.66,1764850958.7466447
-449.25,449.12,575.91,400.26,-281.60,47.61,1764850958.7524607
-441.12,470.10,618.22,405.02,-327.56,14.67,1764850958.7524607
-423.10,519.74,708.04,307.07,-347.12,-23.23,1764850958.7561367
