ax,ay,az,gx,gy,gz,beat_event
-0.689766,5.546865,7.424561,3.658537,0.609756,-4.634147,0
-0.661025,5.585186,7.300020,-4.268293,0.121951,8.048780,0
-0.708926,5.489385,7.309600,4.146341,-2.804878,-2.317073,0
-0.689766,5.537285,7.300020,0.609756,-2.073171,0.000000,0
-0.689766,5.518125,7.347920,0.731707,-3.414634,-1.951220,0
-0.718506,5.575606,7.338340,-3.292683,2.439024,-3.170732,0
-0.708926,5.585186,7.405401,0.487805,3.292683,4.268293,0
-0.718506,5.470225,7.395821,-0.365854,8.048780,-6.097561,0
-0.718506,5.518125,7.395821,-0.365854,2.195122,-4.878049,0
-0.661025,5.451065,7.443721,-1.463415,-2.804878,-2.439024,0
-0.728086,5.479805,7.280859,-0.121951,-2.926829,4.146341,0
-0.728086,5.518125,7.405401,0.000000,7.926829,0.975610,0
-0.737666,5.460645,7.319180,-1.951220,-4.390244,-0.853659,0
-0.680186,5.518125,7.395821,-0.121951,-4.268293,-1.707317,0
-0.708926,5.489385,7.347920,4.634147,3.170732,-5.487805,0
-0.670605,5.460645,7.357500,1.219512,2.682927,0.731707,0
-0.737666,5.498965,7.357500,-2.926829,0.731707,0.243902,0
-0.708926,5.518125,7.434141,-4.390244,3.048780,-1.829268,0
-0.775986,5.498965,7.472461,5.243903,6.463415,0.365854,0
-0.641865,5.537285,7.443721,-3.658537,-2.804878,-3.170732,0
-0.737666,5.546865,7.261700,-3.292683,1.097561,-1.219512,0
-0.632285,5.451065,7.453301,-2.926829,2.317073,3.292683,0
-0.737666,5.498965,7.347920,-4.268293,-0.609756,-1.829268,0
-0.670605,5.479805,7.520361,-0.731707,7.195122,-2.926829,0
-0.747246,5.537285,7.309600,0.853659,3.414634,-1.219512,0
-0.718506,5.575606,7.280859,-5.243903,-1.951220,-1.951220,0
-0.708926,5.546865,7.347920,-11.219513,-1.219512,-6.585366,0
-0.680186,5.527705,7.386240,-0.121951,3.536585,1.829268,0
-0.718506,5.422325,7.443721,-7.682927,-0.487805,-0.365854,0
-0.728086,5.546865,7.319180,-0.731707,1.097561,-0.853659,0
-0.756826,5.556446,7.443721,-1.097561,-5.000000,3.780488,0
-0.670605,5.566026,7.328760,0.121951,1.707317,-2.073171,0
-0.689766,5.585186,7.405401,-2.682927,-5.609756,0.853659,0
-0.680186,5.479805,7.453301,-10.243902,-5.121951,5.243903,0
-0.708926,5.470225,7.338340,3.048780,2.926829,-5.121951,0
-0.680186,5.489385,7.395821,-0.731707,-5.853659,0.731707,0
-0.689766,5.566026,7.347920,2.682927,-3.292683,5.975610,0
-0.661025,5.431904,7.539522,-1.341463,3.536585,-2.682927,0
-0.699346,5.460645,7.367080,-2.317073,3.292683,-0.731707,0
-0.651445,5.566026,7.386240,3.902439,-2.073171,-6.585366,0
-0.689766,5.546865,7.443721,-1.585366,-4.146341,-3.414634,0
-0.747246,5.508545,7.347920,-7.560976,-4.024390,0.000000,0
-0.641865,5.537285,7.414981,-5.365854,9.390244,3.048780,0
-0.680186,5.479805,7.347920,3.048780,6.463415,-8.536586,0
-0.661025,5.498965,7.405401,-5.853659,1.585366,2.804878,0
-0.632285,5.498965,7.405401,-3.048780,-4.878049,-1.219512,0
-0.718506,5.451065,7.386240,2.317073,1.707317,-1.219512,0
-0.718506,5.508545,7.328760,-2.560976,-3.414634,2.560976,0
-0.718506,5.508545,7.424561,1.097561,0.121951,-4.634147,0
-0.728086,5.489385,7.482041,-1.097561,-1.707317,3.048780,0
-0.766406,5.585186,7.347920,-4.756098,0.121951,0.731707,0
-0.699346,5.546865,7.338340,2.073171,4.634147,-7.560976,0
-0.651445,5.441484,7.424561,-2.926829,-4.146341,5.609756,0
-0.737666,5.518125,7.309600,-2.073171,-3.536585,3.048780,0
-0.708926,5.546865,7.347920,1.707317,6.463415,-1.951220,0
-0.728086,5.537285,7.328760,-0.365854,-5.853659,-1.341463,0
-0.708926,5.508545,7.443721,-2.926829,0.365854,-1.585366,0
-0.699346,5.498965,7.367080,0.121951,-3.658537,4.146341,0
-0.718506,5.518125,7.434141,1.341463,0.121951,3.048780,0
-0.708926,5.566026,7.376660,2.317073,-4.268293,-4.634147,0
-0.718506,5.537285,7.367080,1.219512,1.219512,1.463415,0
-0.651445,5.479805,7.376660,2.804878,-3.414634,-0.975610,0
-0.689766,5.537285,7.405401,-2.804878,-0.853659,2.439024,0
-0.737666,5.613926,7.443721,4.268293,-1.463415,-3.536585,0
-0.699346,5.470225,7.328760,-3.658537,-3.536585,7.560976,0
-0.699346,5.518125,7.319180,3.292683,1.463415,-0.487805,0
-0.718506,5.441484,7.376660,-3.292683,-3.414634,1.097561,0
-0.708926,5.575606,7.347920,2.926829,4.024390,-2.804878,0
-0.737666,5.556446,7.482041,2.926829,3.292683,1.097561,0
-0.641865,5.556446,7.367080,-0.731707,4.024390,0.853659,0
-0.718506,5.508545,7.367080,-2.926829,-2.804878,2.073171,0
-0.737666,5.451065,7.347920,-0.731707,-2.195122,-5.853659,0
-0.737666,5.498965,7.376660,0.000000,-0.121951,-1.463415,0
-0.641865,5.537285,7.472461,-1.951220,4.024390,3.780488,0
-0.680186,5.460645,7.491621,-4.024390,2.073171,-5.121951,0
-0.728086,5.470225,7.328760,7.439024,-2.560976,0.243902,0
-0.795147,5.518125,7.414981,-0.487805,-8.536586,-2.560976,0
-0.680186,5.527705,7.367080,1.219512,0.000000,0.243902,0
-0.804727,5.498965,7.405401,-0.731707,0.853659,-5.365854,0
-0.689766,5.508545,7.501202,5.853659,3.048780,-2.317073,0
-0.766406,5.537285,7.290440,3.902439,3.414634,6.951220,0
-0.689766,5.527705,7.434141,3.414634,-1.707317,-0.731707,0
-0.651445,5.518125,7.367080,-1.829268,4.634147,5.731708,0
-0.747246,5.498965,7.424561,0.365854,5.365854,-7.804878,0
-0.651445,5.518125,7.386240,-2.926829,-1.097561,-5.365854,0
-0.708926,5.498965,7.405401,3.414634,6.585366,1.951220,0
-0.699346,5.518125,7.376660,5.731708,0.975610,-2.926829,0
-0.737666,5.508545,7.395821,-3.658537,-0.609756,-5.975610,0
-0.766406,5.566026,7.386240,-3.536585,2.195122,-0.975610,0
-0.680186,5.594766,7.414981,-3.780488,-1.341463,2.682927,0
-0.680186,5.489385,7.328760,0.365854,-4.512195,3.292683,0
-0.775986,5.575606,7.376660,1.097561,0.731707,-2.926829,0
-0.651445,5.489385,7.338340,2.439024,0.000000,-4.634147,0
-0.699346,5.556446,7.319180,-2.560976,-5.243903,2.804878,0
-0.747246,5.489385,7.347920,1.707317,-3.170732,-5.000000,0
-0.699346,5.489385,7.376660,-2.195122,-3.048780,-1.219512,0
-0.670605,5.489385,7.434141,-0.365854,-4.878049,-3.658537,0
-0.708926,5.508545,7.367080,-0.853659,-0.243902,0.975610,0
-0.651445,5.518125,7.424561,-2.560976,0.000000,1.463415,0
-0.680186,5.508545,7.328760,3.536585,2.195122,-3.414634,0
-0.775986,5.546865,7.347920,-0.365854,-0.975610,1.097561,0
-0.699346,5.556446,7.405401,3.292683,1.463415,-5.243903,0
-0.641865,5.441484,7.357500,-0.365854,5.609756,-8.414635,0
-0.737666,5.546865,7.367080,-3.048780,-0.365854,7.560976,0
-0.641865,5.566026,7.347920,-0.487805,-3.414634,3.048780,0
-0.766406,5.537285,7.414981,8.536586,1.219512,-2.560976,0
-0.708926,5.527705,7.357500,-3.536585,0.121951,7.073171,0
-0.737666,5.498965,7.424561,-9.512196,-0.487805,3.780488,0
-0.766406,5.585186,7.367080,5.121951,-1.341463,0.731707,0
-0.718506,5.537285,7.434141,0.000000,-0.487805,-3.658537,0
-0.689766,5.575606,7.357500,3.414634,0.487805,-2.439024,0
-0.718506,5.508545,7.424561,-5.487805,-3.414634,-2.317073,0
-0.718506,5.537285,7.443721,7.439024,-2.926829,-0.731707,0
-0.737666,5.498965,7.376660,1.951220,1.585366,1.829268,0
-0.756826,5.498965,7.414981,-4.268293,-2.926829,2.195122,0
-0.775986,5.508545,7.319180,-0.243902,0.609756,3.414634,0
-0.708926,5.508545,7.328760,4.878049,0.975610,4.146341,0
-0.756826,5.527705,7.338340,-3.536585,-5.243903,4.390244,0
-0.747246,5.460645,7.424561,5.243903,-1.219512,-6.585366,0
-0.728086,5.527705,7.414981,-4.024390,-5.243903,-0.853659,0
-0.680186,5.546865,7.338340,1.341463,-0.487805,1.463415,0
-0.689766,5.498965,7.376660,-0.975610,0.487805,6.341464,0
-0.737666,5.470225,7.405401,3.902439,-0.365854,3.292683,0
-0.680186,5.451065,7.338340,4.146341,4.512195,-5.000000,0
-0.737666,5.479805,7.434141,-5.853659,-0.975610,2.439024,0
-0.699346,5.556446,7.405401,-2.560976,2.560976,5.000000,0
-0.728086,5.451065,7.347920,1.341463,0.121951,-2.682927,0
-0.708926,5.556446,7.376660,-2.804878,-4.756098,3.658537,0
-0.814307,5.527705,7.357500,-1.463415,-3.048780,1.463415,0
-0.708926,5.575606,7.453301,0.853659,-2.317073,1.707317,0
-0.641865,5.441484,7.443721,3.170732,3.658537,2.804878,0
-0.756826,5.518125,7.386240,-4.024390,0.609756,-1.341463,0
-0.708926,5.537285,7.443721,-0.487805,4.024390,-1.341463,0
-0.689766,5.479805,7.338340,2.926829,-1.219512,-4.878049,0
-0.718506,5.527705,7.453301,1.829268,-1.463415,-3.536585,0
-0.737666,5.566026,7.347920,-3.170732,-6.341464,-7.317073,0
-0.699346,5.537285,7.443721,-1.707317,0.000000,-1.097561,0
-0.775986,5.575606,7.338340,3.414634,1.341463,1.463415,0
-0.708926,5.489385,7.261700,4.268293,-3.780488,-0.243902,0
-0.651445,5.527705,7.309600,6.463415,1.951220,1.829268,0
-0.718506,5.508545,7.347920,-4.634147,-5.243903,-4.024390,0
-0.747246,5.527705,7.386240,-0.609756,-5.121951,5.609756,0
-0.747246,5.489385,7.367080,-0.853659,-5.243903,-5.365854,0
-0.756826,5.537285,7.319180,-5.731708,-6.341464,1.463415,0
-0.728086,5.479805,7.376660,-4.512195,0.609756,-1.585366,0
-0.737666,5.412745,7.328760,-1.341463,-2.439024,2.560976,0
-0.795147,5.518125,7.319180,-2.682927,2.926829,5.243903,0
-0.670605,5.537285,7.501202,0.487805,-8.292683,1.829268,0
-0.756826,5.460645,7.338340,6.341464,-1.707317,-0.365854,0
-0.747246,5.518125,7.367080,-3.902439,-1.951220,-2.073171,0
-0.737666,5.537285,7.338340,3.414634,3.902439,0.487805,0
-0.728086,5.498965,7.376660,-4.390244,2.804878,-0.121951,0
-0.737666,5.441484,7.347920,1.585366,-4.390244,-4.756098,0
-0.737666,5.508545,7.405401,-2.926829,-0.487805,4.390244,0
-0.680186,5.470225,7.414981,2.804878,4.024390,-0.487805,0
-0.708926,5.527705,7.510782,-2.926829,3.170732,-2.682927,0
-0.756826,5.479805,7.357500,-0.365854,-4.146341,-1.951220,0
-0.680186,5.604346,7.347920,0.365854,5.000000,1.463415,0
-0.737666,5.489385,7.290440,-1.097561,-2.073171,5.243903,0
-0.708926,5.470225,7.319180,2.682927,6.585366,-5.121951,0
-0.708926,5.498965,7.434141,-2.682927,1.585366,2.439024,0
-0.728086,5.441484,7.434141,2.317073,-2.804878,-2.317073,0
-0.747246,5.537285,7.213799,0.487805,-8.048780,-2.317073,0
-0.670605,5.537285,7.357500,-0.975610,-0.853659,-2.804878,0
-0.804727,5.546865,7.414981,1.585366,-1.951220,-4.146341,0
-0.775986,5.498965,7.309600,1.585366,-4.878049,4.878049,0
-0.775986,5.566026,7.414981,0.487805,-3.414634,3.292683,0
-0.728086,5.546865,7.472461,0.243902,-4.268293,1.951220,0
-0.766406,5.489385,7.357500,-0.121951,-4.878049,1.097561,0
-0.641865,5.527705,7.376660,4.390244,3.536585,-1.829268,0
-0.747246,5.518125,7.424561,-1.341463,-1.585366,5.243903,0
-0.747246,5.546865,7.338340,-3.780488,2.804878,-2.926829,0
-0.699346,5.412745,7.386240,-2.195122,-7.682927,-1.097561,0
-0.718506,5.527705,7.434141,0.487805,4.634147,-0.487805,0
-0.689766,5.518125,7.300020,0.853659,7.073171,3.658537,0
-0.641865,5.575606,7.434141,3.048780,3.048780,2.073171,0
-0.775986,5.460645,7.453301,-7.926829,0.853659,-0.975610,0
-0.804727,5.489385,7.367080,0.487805,0.000000,-2.682927,0
-0.718506,5.546865,7.338340,-1.463415,3.048780,3.292683,0
-0.756826,5.537285,7.414981,1.951220,3.780488,-1.219512,0
-0.708926,5.537285,7.434141,2.560976,1.097561,-1.341463,0
-0.708926,5.508545,7.290440,3.780488,6.829268,-5.365854,0
-0.747246,5.546865,7.376660,-3.292683,-7.804878,9.878049,0
-0.699346,5.441484,7.357500,-2.682927,8.414635,-0.121951,0
-0.785566,5.508545,7.357500,7.804878,3.902439,0.731707,0
-0.718506,5.479805,7.271280,-0.243902,1.341463,-2.560976,0
-0.661025,5.527705,7.367080,8.170732,0.243902,-0.487805,0
-0.661025,5.537285,7.501202,4.634147,7.317073,-8.902439,0
-0.756826,5.498965,7.453301,-1.829268,0.243902,-0.975610,0
-0.689766,5.585186,7.338340,4.878049,-1.341463,0.975610,0
-0.699346,5.470225,7.405401,-3.170732,-0.487805,7.682927,0
-0.728086,5.470225,7.414981,1.585366,0.121951,-7.195122,0
-0.708926,5.537285,7.367080,0.365854,5.000000,-3.658537,0
-0.775986,5.479805,7.405401,-1.097561,5.243903,5.000000,0
-0.699346,5.585186,7.319180,2.804878,-2.195122,-1.585366,0
-0.737666,5.498965,7.319180,-3.658537,0.487805,3.048780,0
