ax,ay,az,gx,gy,gz,beat_event
-0.804727,5.192402,7.606582,-2.926829,0.731707,2.195122,0
-0.689766,5.355264,7.644903,-5.121951,-2.804878,1.707317,0
-0.641865,5.269043,7.558682,-1.585366,0.487805,-2.804878,0
-0.689766,5.269043,7.635323,-10.000000,-5.853659,-3.170732,0
-0.622705,5.259463,7.529942,-3.292683,0.853659,-3.536585,0
-0.641865,5.278623,7.558682,-2.804878,-0.731707,8.902439,0
-0.680186,5.345684,7.491621,-4.756098,-5.853659,-0.731707,0
-0.737666,5.278623,7.587422,-1.341463,6.463415,-2.317073,0
-0.689766,5.374424,7.539522,-2.682927,-1.219512,-6.829268,0
-0.661025,5.355264,7.510782,6.707317,-5.487805,2.195122,0
-0.622705,5.307364,7.395821,-4.024390,1.585366,5.975610,0
-0.728086,5.393584,7.424561,0.487805,-4.024390,-7.439024,0
-0.689766,5.201982,7.491621,-5.243903,-2.195122,7.682927,0
-0.718506,5.278623,7.482041,3.414634,1.585366,-3.780488,0
-0.708926,5.336104,7.539522,-0.609756,1.097561,-1.951220,0
-0.756826,5.336104,7.491621,-4.634147,4.756098,-1.341463,0
-0.728086,5.316944,7.529942,-0.853659,-5.487805,3.780488,0
-0.699346,5.336104,7.529942,-4.756098,-3.170732,-6.219512,0
-0.689766,5.364844,7.405401,3.902439,5.609756,0.365854,0
-0.670605,5.307364,7.539522,5.487805,7.560976,4.146341,0
-0.603545,5.269043,7.491621,-2.804878,3.902439,2.926829,0
-0.699346,5.374424,7.529942,2.195122,1.097561,-0.121951,0
-0.622705,5.345684,7.434141,3.170732,2.560976,-5.365854,0
-0.708926,5.364844,7.539522,3.780488,1.707317,-0.487805,0
-0.699346,5.316944,7.529942,2.804878,-5.609756,0.000000,0
-0.670605,5.345684,7.482041,-3.902439,-4.878049,2.073171,0
-0.699346,5.307364,7.558682,-1.463415,1.219512,5.731708,0
-0.737666,5.326524,7.529942,-4.512195,-1.829268,3.780488,0
-0.756826,5.345684,7.453301,3.780488,-2.804878,-1.219512,0
-0.728086,5.307364,7.434141,0.975610,-3.658537,-1.341463,0
-0.747246,5.326524,7.558682,-1.097561,-4.878049,5.243903,0
-0.747246,5.192402,7.529942,3.780488,-4.756098,2.317073,0
-0.680186,5.307364,7.472461,-2.195122,2.560976,-3.780488,0
-0.737666,5.422325,7.539522,1.585366,-6.097561,-3.414634,0
-0.670605,5.288203,7.568262,-0.609756,3.536585,3.414634,0
-0.670605,5.374424,7.549102,-0.609756,7.926829,5.243903,0
-0.632285,5.345684,7.568262,-0.731707,-7.195122,2.439024,0
-0.718506,5.297783,7.539522,-0.609756,0.853659,-3.658537,0
