ax,ay,az,gx,gy,gz,timestamp
-457.98,175.65,890.18,-68.86,53.09,22.26,1764851059.253668
-455.43,139.10,890.00,-52.83,64.93,-10.48,1764851059.255051
-452.97,99.04,870.95,-77.61,73.49,-42.51,1764851059.257034
-448.77,64.68,842.16,-82.17,58.57,-48.43,1764851059.2612467
-440.26,52.28,842.43,-82.74,52.48,-73.27,1764851059.263712
-432.57,38.74,839.82,-79.03,43.41,-81.78,1764851059.2658868
-423.78,32.18,837.45,-48.88,33.90,-80.91,1764851059.267526
-414.97,32.00,828.98,-21.44,21.31,-88.27,1764851059.268844
-405.67,31.10,824.78,3.97,-6.48,-93.93,1764851059.2715666
-397.92,22.39,821.66,6.08,-44.21,-99.34,1764851059.2738805
-392.38,2.68,807.47,11.76,-76.88,-89.24,1764851059.2753274
-385.28,2.73,826.30,26.50,-108.25,-64.46,1764851059.2781427
-382.53,2.02,869.90,6.33,-128.61,-51.49,1764851059.2810767
-382.75,4.11,906.82,0.28,-156.72,-47.06,1764851059.2836785
-382.79,18.05,942.09,12.23,-159.61,-47.20,1764851059.2857354
-382.67,30.34,972.23,-10.30,-143.77,-44.92,1764851059.28829
-383.47,18.74,983.15,-50.46,-121.00,-45.09,1764851059.2903576
-384.15,5.58,969.02,-28.49,-98.05,-48.52,1764851059.292019
-384.28,-11.91,959.42,-24.21,-89.65,-52.64,1764851059.2947114
-382.44,-25.27,951.26,-29.88,-67.80,-53.45,1764851059.2972834
-383.12,-30.03,952.72,-27.20,-78.33,-27.43,1764851059.2996683
-381.45,-21.63,960.11,-23.72,-68.68,-21.22,1764851059.3009775
-379.28,-14.03,974.94,-14.76,-69.18,-14.13,1764851059.3030593
-377.74,-8.48,996.40,-7.45,-56.10,-11.11,1764851059.3048973
-376.88,-8.71,999.04,-7.23,-49.79,-5.25,1764851059.3065774
-375.25,-15.35,993.64,-6.45,-56.12,-17.66,1764851059.3090196
-373.56,-15.00,987.54,7.42,-35.10,-18.01,1764851059.3123684
-371.53,-11.70,980.26,20.41,-21.44,-22.21,1764851059.3144813
-371.30,-16.99,967.62,28.75,-20.62,-15.28,1764851059.3162441
-371.25,-18.94,955.53,28.33,-21.43,7.41,1764851059.317571
-370.77,-19.10,939.70,22.58,-34.71,23.10,1764851059.319183
-370.50,-26.29,920.84,-10.20,-26.51,43.04,1764851059.319183
-370.28,-27.44,913.07,-11.97,-36.93,48.58,1764851059.319183
-373.08,-24.83,906.01,-22.78,-50.59,55.99,1764851059.325705
-373.97,-20.50,904.66,-38.26,-56.20,70.99,1764851059.327696
-373.38,-10.23,909.66,-25.32,-57.37,61.25,1764851059.3304472
-373.32,-12.14,924.86,-33.22,-59.87,62.26,1764851059.3325427
-373.12,-13.47,936.58,-17.14,-58.39,65.52,1764851059.3355932
-373.25,-9.80,950.29,-8.87,-53.23,52.39,1764851059.3355932
-373.52,-0.98,966.15,-5.44,-44.34,52.33,1764851059.3391373
-374.94,10.42,976.33,-6.12,-29.59,43.28,1764851059.341987
-374.35,23.40,981.53,-25.90,-29.95,42.49,1764851059.3444655
-373.10,26.49,982.80,-31.62,-19.16,41.52,1764851059.3469172
-373.08,16.22,982.38,-56.28,-7.59,58.69,1764851059.3484838
-372.32,5.09,976.02,-54.73,7.35,63.39,1764851059.3503256
-372.87,-7.68,969.12,-34.52,18.55,62.28,1764851059.352179
-373.49,-12.53,963.10,-23.05,19.97,39.74,1764851059.3547454
-374.77,-11.40,949.29,-11.19,22.07,12.18,1764851059.3571508
-374.65,-6.54,941.14,-9.51,28.36,21.45,1764851059.3578336
-372.90,-0.01,940.97,5.72,23.81,26.63,1764851059.3618634
-372.02,3.14,941.58,12.96,22.34,18.14,1764851059.363515
-370.67,1.77,937.89,3.21,17.79,21.72,1764851059.363515
-371.47,2.71,938.96,-17.07,20.22,18.16,1764851059.3674343
-371.25,11.75,942.11,-16.61,10.28,36.44,1764851059.3690794
-372.41,22.14,946.45,-19.82,10.24,22.27,1764851059.3702567
-374.45,18.82,951.48,-35.14,15.91,-0.87,1764851059.3726652
-375.43,15.54,943.31,-46.97,34.22,-13.04,1764851059.3737187
-376.57,7.36,934.56,-73.83,42.89,11.12,1764851059.3755329
-377.83,-0.19,927.73,-103.55,36.15,28.35,1764851059.3793848
-379.21,-10.96,924.47,-109.62,11.53,32.20,1764851059.3813984
-378.28,-14.12,925.90,-103.68,11.30,25.27,1764851059.3824298
-379.13,-14.85,926.51,-102.23,5.41,32.28,1764851059.384492
-379.86,-14.12,926.59,-91.09,7.30,34.94,1764851059.3872259
-381.68,-12.75,929.95,-104.43,-5.50,27.60,1764851059.3881345
-384.13,-8.14,927.41,-100.76,-1.07,30.96,1764851059.3902783
-384.86,-2.27,925.99,-88.05,5.99,21.51,1764851059.3923502
-384.58,7.07,935.75,-42.74,6.59,19.19,1764851059.3944204
-384.80,5.41,936.53,-13.53,3.20,37.61,1764851059.3976338
-384.23,-1.25,932.85,7.10,4.82,19.07,1764851059.3996215
-383.74,-11.71,934.98,7.23,8.60,9.91,1764851059.4008625
-383.63,-24.96,935.28,13.65,4.91,-3.88,1764851059.403818
-384.59,-28.11,939.89,13.40,-5.13,15.30,1764851059.4056337
-385.40,-19.10,944.40,-2.71,-1.66,17.51,1764851059.4070442
-384.44,-11.13,945.09,7.00,-4.41,13.38,1764851059.409093
-384.37,-5.26,941.48,6.85,-13.35,17.67,1764851059.4124541
-385.52,-5.22,943.51,10.92,-11.35,27.02,1764851059.4136624
-384.24,-9.69,944.78,17.08,1.46,21.47,1764851059.41601
-383.90,-17.39,943.76,18.42,3.64,10.45,1764851059.4177036
-385.57,-31.73,941.10,10.86,13.29,14.28,1764851059.4200013
-385.03,-37.32,951.43,16.13,-0.70,22.64,1764851059.4211714
-383.23,-27.82,949.42,10.71,13.20,45.04,1764851059.4221737
-381.69,-14.05,947.41,2.20,-1.08,40.39,1764851059.4244275
-380.99,-2.64,943.90,3.97,7.48,29.53,1764851059.428691
-378.89,0.31,945.11,-2.92,-11.04,14.60,1764851059.4307606
-380.11,-1.39,954.39,0.22,-11.78,16.91,1764851059.4324749
-381.59,-5.83,956.59,-7.92,-14.22,8.67,1764851059.435012
-382.25,-12.16,952.75,-16.63,-0.08,20.27,1764851059.436661
-383.56,-14.98,948.59,-3.64,19.43,22.63,1764851059.4389424
-384.38,-11.69,938.00,-5.19,19.22,26.44,1764851059.4402268
-385.82,-5.43,923.90,-9.81,34.03,21.27,1764851059.441845
-385.25,-5.67,916.11,-3.84,44.23,2.18,1764851059.4442925
-386.26,-11.57,915.65,11.44,35.19,-9.55,1764851059.4474995
-387.12,-23.03,922.30,45.42,26.01,-11.71,1764851059.4494786
-387.40,-31.73,935.45,54.81,24.81,5.64,1764851059.4517076
-387.79,-33.57,948.89,60.69,16.29,-11.40,1764851059.453122
-387.52,-34.98,954.00,55.48,22.85,9.81,1764851059.4554644
-388.50,-34.09,946.65,36.36,31.72,25.74,1764851059.4567
-390.37,-21.77,938.45,37.21,36.56,8.98,1764851059.4615734
-388.52,-0.06,934.04,42.73,25.98,25.93,1764851059.464143
-387.69,10.30,932.08,30.92,16.68,16.04,1764851059.4645412
-386.09,21.21,932.37,28.38,18.38,9.43,1764851059.4670897
-384.87,23.13,938.76,38.82,13.52,0.82,1764851059.4691923
-385.34,14.26,941.05,32.10,10.59,-14.00,1764851059.4691923
-384.24,3.72,938.79,29.38,18.00,-16.40,1764851059.4730418
-381.65,-2.24,946.02,6.98,3.60,-11.24,1764851059.4751604
-383.06,-11.35,941.97,-11.17,15.96,-17.66,1764851059.476521
-384.40,-14.60,935.22,-24.49,23.47,-10.21,1764851059.4776947
-384.04,-10.46,931.59,-21.72,24.75,-1.78,1764851059.4811327
-383.58,-12.64,935.25,-34.36,27.64,20.39,1764851059.4811327
-386.19,-13.00,937.01,-41.51,38.79,23.63,1764851059.4847121
-390.97,-13.90,941.21,-33.18,37.77,30.59,1764851059.4847121
-394.87,-16.31,942.23,-45.00,27.91,45.50,1764851059.488612
-399.24,-11.16,928.25,-44.85,26.72,52.77,1764851059.4902174
-401.00,-4.69,916.96,-53.43,32.01,51.76,1764851059.4927332
-401.90,-5.79,917.41,-57.71,20.91,45.79,1764851059.494444
-402.37,-7.92,916.90,-36.46,19.57,23.62,1764851059.4964557
-401.56,-15.43,924.27,-46.29,11.84,19.48,1764851059.49957
-400.28,-24.67,935.63,-45.04,0.46,12.06,1764851059.5005896
-398.59,-36.12,945.58,-34.39,-11.61,2.15,1764851059.50301
-397.75,-38.80,966.20,-16.33,-11.07,-7.17,1764851059.5045626
-398.69,-32.68,972.62,-20.18,-5.81,3.80,1764851059.506098
-399.93,-28.08,971.02,-19.25,2.26,4.73,1764851059.5091844
-399.04,-22.52,962.32,-4.06,17.23,7.62,1764851059.5110142
-399.79,-23.79,945.17,1.94,32.64,10.98,1764851059.5126505
-399.82,-36.87,925.20,19.35,32.85,20.73,1764851059.5152936
-400.75,-49.79,908.37,40.45,15.32,19.12,1764851059.5156555
-400.93,-37.37,912.51,45.48,1.92,10.55,1764851059.5185726
-400.49,-14.67,915.59,41.66,-17.57,24.27,1764851059.519693
-398.92,12.58,927.80,45.31,-43.73,19.43,1764851059.5221555
-396.83,21.80,939.98,35.81,-41.97,19.22,1764851059.5242157
-393.11,21.23,951.08,42.44,-45.28,-12.47,1764851059.525802
-391.44,11.59,948.82,27.08,-39.09,-33.10,1764851059.5277445
-390.32,-1.25,943.90,16.71,-23.32,-31.13,1764851059.5312872
-390.13,-9.91,936.11,3.11,-11.12,-34.26,1764851059.532169
-391.76,-15.92,930.99,-11.76,3.74,-15.02,1764851059.5348763
-393.74,-19.98,923.65,-5.19,-8.82,-7.07,1764851059.5361536
-396.63,-22.69,912.45,-11.62,-26.99,-5.41,1764851059.5380301
-397.59,-27.68,903.23,-11.67,-31.05,0.80,1764851059.5400865
-398.40,-22.63,900.35,-4.52,-32.39,2.78,1764851059.5425043
-398.34,-18.64,894.74,11.76,-43.13,-16.24,1764851059.5444138
-397.84,-18.84,897.18,30.99,-60.66,-8.70,1764851059.5483005
-395.31,-17.51,911.71,48.54,-66.86,-16.40,1764851059.550337
-393.62,-20.29,928.85,43.66,-67.03,-17.84,1764851059.5522475
-390.82,-22.79,947.47,57.21,-52.78,-32.26,1764851059.5527716
-390.25,-20.73,961.80,45.93,-43.36,-29.52,1764851059.5550735
-390.96,-17.02,969.63,32.14,-31.76,-25.99,1764851059.5579226
-391.42,-12.96,972.24,24.92,-13.49,-17.59,1764851059.5579226
-390.76,-3.97,964.40,31.38,-2.17,-26.06,1764851059.5610623
-391.24,-5.47,951.44,32.97,-9.94,-4.45,1764851059.5646923
-390.61,-6.15,952.12,37.33,9.55,-3.78,1764851059.5663621
-390.81,-3.28,943.41,38.03,10.22,-1.41,1764851059.5677822
-390.24,-5.49,930.90,36.82,19.78,-21.30,1764851059.569074
-388.26,-2.11,930.31,46.00,9.62,-7.01,1764851059.569074
-387.17,3.75,921.26,33.70,11.17,-12.25,1764851059.5740354
-386.54,-1.46,914.47,33.45,0.80,-2.92,1764851059.5756583
-386.01,-3.64,916.35,43.43,1.28,12.52,1764851059.5776873
-383.46,-6.70,913.30,30.91,-5.21,3.74,1764851059.5800202
-382.49,-14.09,921.36,34.08,7.57,13.08,1764851059.5824459
-381.52,-13.63,925.65,43.67,7.33,15.62,1764851059.5842757
-382.34,-16.68,931.55,42.82,3.23,15.98,1764851059.5861354
-383.19,-10.43,934.92,30.39,-16.45,19.28,1764851059.5883172
-383.91,2.53,936.28,32.13,-23.88,32.89,1764851059.5911777
-384.22,19.10,942.99,39.31,-9.50,20.45,1764851059.5923424
-385.09,28.24,945.84,31.32,-27.28,18.89,1764851059.5942364
-384.93,24.00,954.12,22.12,-23.48,6.75,1764851059.5942364
-386.59,13.05,962.35,28.10,-19.96,6.94,1764851059.6059895
-386.65,-1.36,968.75,39.49,-16.97,2.90,1764851059.608001
-387.75,-7.60,978.08,49.16,-9.32,-2.34,1764851059.615342
-386.89,-5.26,982.27,39.09,10.68,-0.49,1764851059.6173527
-386.31,0.78,977.73,26.93,24.97,-4.31,1764851059.6193612
-384.91,7.41,975.97,24.99,20.93,-3.37,1764851059.6218822
-383.87,1.95,972.68,25.14,18.99,-4.06,1764851059.6238942
-384.19,-8.39,969.87,21.97,22.74,-9.15,1764851059.6308894
-383.71,-17.18,959.99,33.37,44.83,-11.68,1764851059.6328075
-383.61,-21.66,942.29,29.27,48.01,6.27,1764851059.6328075
-382.92,-21.86,928.90,39.58,47.40,30.53,1764851059.637402
-383.38,-17.68,926.36,44.44,31.89,31.65,1764851059.637402
-384.22,-14.13,922.56,46.17,24.71,37.10,1764851059.6486967
-384.34,-3.31,913.63,32.65,27.60,45.34,1764851059.650711
-383.54,9.19,907.83,49.05,21.06,47.84,1764851059.652725
-385.56,18.46,901.26,49.19,23.90,37.66,1764851059.6567507
-386.67,26.19,900.92,49.91,22.12,12.21,1764851059.6633165
-387.77,30.06,899.58,33.43,27.20,18.78,1764851059.665659
-389.91,33.35,903.39,29.61,9.62,15.06,1764851059.667776
-393.52,36.00,911.58,35.97,4.28,16.70,1764851059.6717975
-398.39,33.45,924.40,24.88,-9.26,19.90,1764851059.6740706
-407.03,24.68,939.79,17.54,-33.37,25.61,1764851059.6740706
-414.68,14.53,978.82,37.71,-26.57,22.37,1764851059.6778522
-417.13,10.85,1043.95,54.86,-27.38,20.52,1764851059.6778522
-414.56,17.02,1102.00,74.83,3.12,27.94,1764851059.6810296
-410.72,29.47,1133.05,76.50,50.06,18.05,1764851059.682667
-406.87,35.55,1124.80,75.23,94.15,17.14,1764851059.6840372
-403.44,35.17,1094.68,97.84,166.73,-13.03,1764851059.685363
