ax,ay,az,gx,gy,gz,beat_event
-0.881367,3.822451,8.487949,-5.731708,3.414634,3.658537,0
-0.823887,3.726650,8.478370,-4.634147,2.195122,1.829268,0
-0.823887,3.764971,8.430470,7.804878,0.243902,-0.853659,0
-0.948428,3.784131,8.478370,1.097561,-3.902439,-2.439024,0
-0.871787,3.755391,8.363408,-1.829268,-0.243902,-1.951220,0
-0.843047,3.774551,8.497530,-6.219512,-3.292683,4.024390,0
-0.900527,3.784131,8.440049,-1.097561,-0.609756,-4.146341,0
-0.890947,3.812871,8.459209,5.365854,-3.170732,-5.121951,0
-0.852627,3.764971,8.497530,-3.292683,-0.609756,-6.341464,0
-0.900527,3.803291,8.430470,-3.536585,-0.121951,-1.951220,0
-0.910107,3.812871,8.392149,-1.097561,-4.024390,-2.682927,0
-0.814307,3.745811,8.497530,2.439024,5.365854,1.463415,0
-0.890947,3.755391,8.430470,3.780488,1.829268,4.756098,0
-0.910107,3.726650,8.430470,5.731708,0.609756,3.048780,0
-0.871787,3.822451,8.411309,4.878049,-2.439024,1.097561,0
-0.833467,3.889512,8.449629,3.414634,-1.707317,-0.121951,0
-0.919688,3.736231,8.392149,1.951220,-1.219512,3.536585,0
-0.852627,3.784131,8.478370,-1.829268,3.414634,3.292683,0
-0.852627,3.793711,8.497530,4.146341,-4.268293,2.560976,0
-0.910107,3.745811,8.459209,-3.780488,-5.975610,5.365854,0
-0.910107,3.812871,8.411309,1.219512,-1.707317,3.780488,0
-0.890947,3.755391,8.478370,-1.341463,1.951220,-3.902439,0
-0.900527,3.793711,8.430470,0.000000,5.365854,-1.219512,0
-0.871787,3.745811,8.459209,-0.853659,-3.902439,2.195122,0
-0.881367,3.860772,8.468789,8.170732,2.073171,-0.975610,0
-0.910107,3.774551,8.545430,0.365854,-6.829268,-2.560976,0
-0.910107,3.812871,8.507110,-7.317073,0.487805,1.097561,0
-0.795147,3.812871,8.497530,-2.682927,-0.975610,0.243902,0
-0.948428,3.803291,8.430470,-6.829268,2.195122,-0.243902,0
-0.919688,3.870352,8.372989,-6.585366,-4.146341,7.195122,0
-0.919688,3.870352,8.420889,-6.707317,1.341463,-2.682927,0
-0.919688,3.726650,8.363408,3.902439,-0.365854,-0.975610,0
-0.890947,3.812871,8.440049,1.097561,-0.365854,-2.195122,0
-0.900527,3.745811,8.478370,5.487805,-0.853659,-0.243902,0
-0.843047,3.832031,8.535850,3.414634,-0.121951,0.243902,0
-0.804727,3.841611,8.334668,1.951220,2.560976,-5.365854,0
